date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:32	88984/88984	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jan%202021%2002:47:32%20GMT	http://ncg.macmar.co/	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/index.html	(from )
20:47:35	109/109	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Jan%202021%2002:47:35%20GMT	http://ncg.macmar.co/robots.txt		(from )
20:47:35	87561/87561	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e4-15609%22	http://ncg.macmar.co/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.6.2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/themes/astra/assets/css/minified/style.min61da.css	(from http://ncg.macmar.co/)
20:47:35	3304/3304	---M--	200	added ('OK')	font/woff	etag:%225fd8c8e4-ce8%22	http://ncg.macmar.co/wp-content/themes/astra/assets/fonts/astra.woff	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/themes/astra/assets/fonts/astra.woff	(from http://ncg.macmar.co/)
20:47:36	1661/1661	---MC-	200	added ('OK')	application/rss+xml	etag:%22c4da533408234cca6e415e9f959c6700%22	http://ncg.macmar.co/feed/	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/feed/index.html	(from http://ncg.macmar.co/)
20:47:36	51433/51433	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c838-c8e9%22	http://ncg.macmar.co/wp-includes/css/dist/block-library/style.min.css?ver=5.6	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/css/dist/block-library/style.min40df.css	(from http://ncg.macmar.co/)
20:47:36	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e8-308%22	http://ncg.macmar.co/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.4	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor357c.css	(from http://ncg.macmar.co/)
20:47:36	1653/1653	---MC-	200	added ('OK')	application/rss+xml	etag:%222d6711cb942c022a967bf6c9fcbdabd1%22	http://ncg.macmar.co/comments/feed/	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/comments/feed/index.html	(from http://ncg.macmar.co/)
20:47:36	737/737	---MC-	200	added ('OK')	application/rss+xml	etag:%222d6711cb942c022a967bf6c9fcbdabd1%22	http://ncg.macmar.co/home/feed/	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/home/feed/index.html	(from http://ncg.macmar.co/)
20:47:36	16636/16636	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e5-40fc%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from http://ncg.macmar.co/)
20:47:36	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e5-4824%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/animations/animations.minc578.css	(from http://ncg.macmar.co/)
20:47:36	3855/3855	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e5-f0f%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/css/frontend-legacy.minc578.css	(from http://ncg.macmar.co/)
20:47:37	112213/112213	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8c8e5-1b655%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/css/frontend.minc578.css	(from http://ncg.macmar.co/)
20:47:37	1642/1642	---MCZ	200	added ('OK')	text/css	etag:W/%225fd91e84-66a%22	http://ncg.macmar.co/wp-content/uploads/elementor/css/post-1107.css?ver=1608064644	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/uploads/elementor/css/post-11074f9b.css	(from http://ncg.macmar.co/)
20:47:38	210961/210961	---MCZ	200	added ('OK')	text/css	etag:W/%225fd8f777-33811%22	http://ncg.macmar.co/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.8	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor-pro/assets/css/frontend.min6173.css	(from http://ncg.macmar.co/)
